Category,PX_ROC_AUC,PX_AP,SNR,Total_N
bottle,0.9439451892307915,0.499242831344468,4.08178369720166,63.0
cable,0.9543536948663973,0.5485966950134531,3.868210832511248,92.0
capsule,0.8288043150940007,0.14699310150839176,1.7923419342951719,109.0
carpet,0.9644638289749485,0.42098254076150765,3.4095403097392154,89.0
grid,0.8929374488197839,0.2176651923395424,2.3373227849609948,57.0
hazelnut,0.9443133803592173,0.49221153014687036,3.7688969256265303,70.0
leather,0.9684606321123141,0.3769639798292047,4.721265610152247,92.0
metal_nut,0.9152104080419766,0.549527009439579,3.4799286192658276,93.0
pill,0.8565853603453824,0.20814254356505862,2.104687084359264,141.0
screw,0.8884831071012053,0.13790232773576142,2.434347520612563,119.0
tile,0.9305720963960817,0.6238007805115282,4.5913707514544235,84.0
toothbrush,0.8608896517879174,0.22922575908007123,2.12787466750982,30.0
transistor,0.9049177413972067,0.555137501170092,3.789709835450794,40.0
wood,0.8212542185864476,0.3563027078551962,1.8263384462359329,60.0
zipper,0.9248435863405572,0.3485404175456705,3.210385059543447,119.0
